date,Weekday,vacances,est_jour_ferie,nom_jour_ferie,nom_vacances
2019-10-30,Mercredi,True,FALSE,,Vacances dautomne
2019-10-31,Jeudi,True,FALSE,,Vacances dautomne
2019-11-01,Vendredi,True,TRUE,Anniversaire 1918,Vacances dautomne
2019-11-02,Samedi,True,FALSE,,Vacances dautomne
2019-11-03,Dimanche,True,FALSE,,Vacances dautomne
2019-11-04,Lundi,FALSE,FALSE,,
2019-11-05,Mardi,FALSE,FALSE,,
2019-11-06,Mercredi,FALSE,FALSE,,
2019-11-07,Jeudi,FALSE,FALSE,,
2019-11-08,Vendredi,FALSE,FALSE,,
2019-11-09,Samedi,FALSE,FALSE,,
2019-11-10,Dimanche,FALSE,FALSE,,
2019-11-11,Lundi,FALSE,FALSE,,
2019-11-12,Mardi,FALSE,FALSE,,
2019-11-13,Mercredi,FALSE,FALSE,,
2019-11-14,Jeudi,FALSE,FALSE,,
2019-11-15,Vendredi,FALSE,FALSE,,
2019-11-16,Samedi,FALSE,FALSE,,
2019-11-17,Dimanche,FALSE,FALSE,,
2019-11-18,Lundi,FALSE,FALSE,,
2019-11-19,Mardi,FALSE,FALSE,,
2019-11-20,Mercredi,FALSE,FALSE,,
2019-11-21,Jeudi,FALSE,FALSE,,
2019-11-22,Vendredi,FALSE,FALSE,,
2019-11-23,Samedi,FALSE,FALSE,,
2019-11-24,Dimanche,FALSE,FALSE,,
2019-11-25,Lundi,FALSE,FALSE,,
2019-11-26,Mardi,FALSE,FALSE,,
2019-11-27,Mercredi,FALSE,FALSE,,
2019-11-28,Jeudi,FALSE,FALSE,,
2019-11-29,Vendredi,FALSE,FALSE,,
2019-11-30,Samedi,FALSE,FALSE,,
2019-12-01,Dimanche,FALSE,FALSE,,
2019-12-02,Lundi,FALSE,FALSE,,
2019-12-03,Mardi,FALSE,FALSE,,
2019-12-04,Mercredi,FALSE,FALSE,,
2019-12-05,Jeudi,FALSE,FALSE,,
2019-12-06,Vendredi,FALSE,FALSE,,
2019-12-07,Samedi,FALSE,FALSE,,
2019-12-08,Dimanche,FALSE,FALSE,,
2019-12-09,Lundi,FALSE,FALSE,,
2019-12-10,Mardi,FALSE,FALSE,,
2019-12-11,Mercredi,FALSE,FALSE,,
2019-12-12,Jeudi,FALSE,FALSE,,
2019-12-13,Vendredi,FALSE,FALSE,,
2019-12-14,Samedi,FALSE,FALSE,,
2019-12-15,Dimanche,FALSE,FALSE,,
2019-12-16,Lundi,FALSE,FALSE,,
2019-12-17,Mardi,FALSE,FALSE,,
2019-12-18,Mercredi,FALSE,FALSE,,
2019-12-19,Jeudi,FALSE,FALSE,,
2019-12-20,Vendredi,FALSE,FALSE,,
2019-12-21,Samedi,FALSE,FALSE,,
2019-12-22,Dimanche,True,TRUE,Noeel,Vacances de Noeel
2019-12-23,Lundi,True,FALSE,,Vacances de Noeel
2019-12-24,Mardi,True,FALSE,,Vacances de Noeel
2019-12-25,Mercredi,True,FALSE,,Vacances de Noeel
2019-12-26,Jeudi,True,FALSE,,Vacances de Noeel
2019-12-27,Vendredi,True,FALSE,,Vacances de Noeel
2019-12-28,Samedi,True,FALSE,,Vacances de Noeel
2019-12-29,Dimanche,True,FALSE,,Vacances de Noeel
2019-12-30,Lundi,True,FALSE,,Vacances de Noeel
2019-12-31,Mardi,True,FALSE,,Vacances de Noeel
2020-01-01,Mercredi,True,TRUE,Nouvel an,Vacances de Noeel
2020-01-02,Jeudi,True,FALSE,,Vacances de Noeel
2020-01-03,Vendredi,True,FALSE,,Vacances de Noeel
2020-01-04,Samedi,True,FALSE,,Vacances de Noeel
2020-01-05,Dimanche,True,FALSE,,Vacances de Noeel
2020-01-06,Lundi,FALSE,FALSE,,
2020-01-07,Mardi,FALSE,FALSE,,
2020-01-08,Mercredi,FALSE,FALSE,,
2020-01-09,Jeudi,FALSE,FALSE,,
2020-01-10,Vendredi,FALSE,FALSE,,
2020-01-11,Samedi,FALSE,FALSE,,
2020-01-12,Dimanche,FALSE,FALSE,,
2020-01-13,Lundi,FALSE,FALSE,,
2020-01-14,Mardi,FALSE,FALSE,,
